,电影名称,年份,国家,标签,评分
83,心灵捕手,1997 , 美国 , 剧情,8.9
84,低俗小说,1994 , 美国 , 剧情 喜剧 犯罪,8.9
85,春光乍泄,1997 , 中国香港 日本 韩国 , 剧情 爱情 同性,9.0
86,七宗罪,1995 , 美国 , 剧情 犯罪 悬疑 惊悚,8.8
87,摩登时代,1936 , 美国 , 剧情 喜剧 爱情,9.3
88,喜剧之王,1999 , 中国香港 , 喜剧 剧情 爱情,8.8
89,被嫌弃的松子的一生,2006 , 日本 , 剧情 歌舞,8.9
90,致命ID,2003 , 美国 , 剧情 悬疑 惊悚,8.8
91,杀人回忆,2003 , 韩国 , 剧情 动作 犯罪 悬疑 惊悚,8.9
92,加勒比海盗,2003 , 美国 , 动作 冒险 奇幻,8.8
93,剪刀手爱德华,1990 , 美国 , 剧情 奇幻 爱情,8.7
94,狩猎,2012 , 丹麦 瑞典 , 剧情,9.1
95,红辣椒,2006 , 日本 , 动画 悬疑 科幻 惊悚,9.0
96,勇敢的心,1995 , 美国 , 动作 传记 剧情 历史 战争,8.9
97,请以你的名字呼唤我,2017 , 意大利 法国 巴西 美国 荷兰 德国 , 剧情 爱情 同性,8.9
98,7号房的礼物,2013 , 韩国 , 剧情 喜剧 家庭,8.9
99,断背山,2005 , 美国 加拿大 , 剧情 爱情 同性 家庭,8.8
100,功夫,2004 , 中国大陆 中国香港 , 动作 喜剧 犯罪 奇幻,8.7
101,天使爱美丽,2001 , 法国 德国 , 剧情 喜剧 爱情,8.7
102,超脱,2011 , 美国 , 剧情,8.9
103,幽灵公主,1997 , 日本 , 动画 奇幻 冒险,8.9
104,第六感,1999 , 美国 , 剧情 悬疑 惊悚,8.9
105,唐伯虎点秋香,1993 , 中国香港 , 喜剧 爱情 古装,8.7
106,小森林 夏秋篇,2014 , 日本 , 剧情,9.0
107,哈利·波特与阿兹卡班的囚徒,2004 , 英国 美国 , 奇幻 冒险,8.8
108,重庆森林,1994 , 中国香港 , 剧情 爱情,8.8
109,阳光灿烂的日子,1994 , 中国大陆 中国香港 , 剧情 爱情,8.8
110,爱在黎明破晓前,1995 , 美国 奥地利 瑞士 , 剧情 爱情,8.8
111,一一,2000 , 中国台湾 日本 , 剧情 爱情 家庭,9.1
112,菊次郎的夏天,1999 , 日本 , 剧情 喜剧,8.8
113,蝙蝠侠：黑暗骑士崛起,2012 , 美国 英国 , 剧情 动作 科幻 犯罪 惊悚,8.8
114,消失的爱人,2014 , 美国 , 剧情 犯罪 悬疑 惊悚,8.7
115,小森林 冬春篇,2015 , 日本 , 剧情,9.0
116,无人知晓,2004 , 日本 , 剧情,9.1
117,超能陆战队,2014 , 美国 , 喜剧 动作 科幻 动画 冒险,8.7
118,倩女幽魂,1987 , 中国香港 , 爱情 奇幻 武侠 古装,8.7
119,入殓师,2008 , 日本 , 剧情,8.9
120,完美的世界,1993 , 美国 , 剧情 犯罪,9.1
121,侧耳倾听,1995 , 日本 , 剧情 爱情 动画,8.9
122,爱在日落黄昏时,2004 , 美国 法国 , 剧情 爱情,8.9
123,借东西的小人阿莉埃蒂,2010 , 日本 , 动画 奇幻 冒险,8.9
124,甜蜜蜜,1996 , 中国香港 , 剧情 爱情,8.9
125,哈利·波特与密室,2002 , 英国 美国 , 奇幻 冒险,8.8
126,萤火之森,2011 , 日本 , 剧情 爱情 动画 奇幻,8.9
127,驯龙高手,2010 , 美国 , 动画 奇幻 冒险,8.7
128,天书奇谭,1983(中国大陆) , 中国大陆 , 动画 奇幻,9.2
129,幸福终点站,2004 , 美国 , 喜剧 剧情 爱情,8.8
130,玛丽和马克思,2009 , 澳大利亚 美国 , 剧情 喜剧 动画,8.9
131,大鱼,2003 , 美国 , 剧情 家庭 奇幻 冒险,8.8
132,告白,2010 , 日本 , 剧情 悬疑,8.7
133,阳光姐妹淘,2011 , 韩国 , 剧情 喜剧,8.8
134,射雕英雄传之东成西就,1993 , 中国香港 , 喜剧 奇幻 武侠 古装,8.7
135,怪兽电力公司,2001 , 美国 , 儿童 喜剧 动画 奇幻 冒险,8.7
136,时空恋旅人,2013 , 英国 , 喜剧 爱情 奇幻,8.8
137,神偷奶爸,2010 , 美国 法国 , 喜剧 动画 冒险,8.6
138,恐怖直播,2013 , 韩国 , 剧情 犯罪 悬疑,8.7
139,傲慢与偏见,2005 , 法国 英国 美国 , 剧情 爱情,8.7
140,玩具总动员3,2010 , 美国 , 喜剧 动画 奇幻 冒险,8.9
141,教父3,1990 , 美国 , 剧情 犯罪,9.0
142,釜山行,2016 , 韩国 , 动作 惊悚 灾难,8.6
143,一个叫欧维的男人决定去死,2015 , 瑞典 , 剧情,8.9
144,哪吒闹海,1979 , 中国大陆 , 冒险 动画 奇幻,9.1
145,被解救的姜戈,2012 , 美国 , 剧情 动作 西部 冒险,8.8
146,血战钢锯岭,2016 , 澳大利亚 美国 , 剧情 传记 历史 战争,8.7
147,未麻的部屋,1997 , 日本 , 动画 奇幻 惊悚,9.0
148,头号玩家,2018 , 美国 , 动作 科幻 冒险,8.7
149,七武士,1954 , 日本 , 动作 冒险 剧情,9.3
150,我是山姆,2001 , 美国 , 剧情 家庭,9.0
151,喜宴,1993 , 中国台湾 美国 , 剧情 喜剧 爱情 同性 家庭,8.9
152,电锯惊魂,2004 , 美国 , 悬疑 惊悚 恐怖,8.7
153,新世界,2013 , 韩国 , 剧情 犯罪,8.9
154,寄生虫,2019 , 韩国 , 剧情 喜剧,8.8
155,卢旺达饭店,2004 , 英国 南非 意大利 美国 , 剧情 传记 历史 战争,8.9
156,风之谷,1984 , 日本 , 动画 奇幻 冒险,8.9
157,模仿游戏,2014 , 英国 美国 , 剧情 传记 战争 同性,8.7
158,上帝之城,2002 , 巴西 法国 , 犯罪 剧情,9.0
159,三块广告牌,2017 , 美国 英国 , 剧情 犯罪,8.7
160,花样年华,2000 , 中国香港 , 剧情 爱情,8.7
161,疯狂原始人,2013 , 美国 , 喜剧 动画 冒险,8.7
162,黑客帝国3：矩阵革命,2003 , 美国 , 动作 科幻,8.8
163,谍影重重3,2007 , 美国 德国 , 动作 悬疑 惊悚,8.8
164,英雄本色,1986 , 中国香港 , 剧情 动作 犯罪,8.6
165,你的名字。,2016 , 日本 , 剧情 爱情 动画,8.5
166,达拉斯买家俱乐部,2013 , 美国 , 剧情 传记 同性,8.8
167,头脑特工队,2015 , 美国 , 喜剧 动画 冒险,8.7
168,纵横四海,1991 , 中国香港 , 剧情 喜剧 动作 犯罪,8.8
169,心迷宫,2014 , 中国大陆 , 剧情 犯罪 悬疑,8.7
170,哈利·波特与火焰杯,2005 , 英国 美国 , 悬疑 奇幻 冒险,8.7
171,岁月神偷,2010 , 中国香港 中国大陆 , 剧情 家庭,8.7
172,记忆碎片,2000 , 美国 , 犯罪 剧情 悬疑 惊悚,8.7
173,忠犬八公物语,1987 , 日本 , 剧情,9.2
174,海街日记,2015 , 日本 , 剧情 家庭,8.8
